AssetClass,AssetPrice,AssetType,BaseCurrency,ClientNumber,CostPrice,Evaluation,EvaluationCC,EvaluationChf,EvaluationEur,FxCC,FxChf,FxEur,Isin,Position,PositionCurrency,PositionDate,PositionName,BankName
Cash,1,CC,EUR,K00149ED,1,2682.57,2840.56206188187,,2840.56206188187,,,1.05889578347699,CC-CHF,2682.57,CHF,2025-02-17,CC-CHF,Quintet
Cash,1,CC,EUR,K00149ED,1,37607.03,37607.03,,37607.03,,,1,CC-EUR,37607.03,EUR,2025-02-17,CC-EUR,Quintet
Cash,1,CC,EUR,K00149ED,1,1830.58,2202.0924873462,,2202.0924873462,,,1.2029479658612,CC-GBP,1830.58,GBP,2025-02-17,CC-GBP,Quintet
Cash,1,CC,EUR,K00149ED,1,2530.56,2414.5869416972,,2414.5869416972,,,0.954170990491116,CC-USD,2530.56,USD,2025-02-17,CC-USD,Quintet
Cash,1,CC,EUR,K00149ED,1,2682.57,2842.4582781457,,2842.4582781457,,,1.05960264900662,CC-CHF,2682.57,CHF,2025-02-18,CC-CHF,Quintet
Cash,1,CC,EUR,K00149ED,1,37607.03,37607.03,,37607.03,,,1,CC-EUR,37607.03,EUR,2025-02-18,CC-EUR,Quintet
Cash,1,CC,EUR,K00149ED,1,1830.58,2206.56900895364,,2206.56900895364,,,1.20539337748344,CC-GBP,1830.58,GBP,2025-02-18,CC-GBP,Quintet
Cash,1,CC,EUR,K00149ED,1,2530.56,2417.61993409272,,2417.61993409272,,,0.955369536423841,CC-USD,2530.56,USD,2025-02-18,CC-USD,Quintet
Cash,1,CC,EUR,K00149ED,1,2682.57,2847.4063538228,,2847.4063538228,,,1.06144717708123,CC-CHF,2682.57,CHF,2025-02-19,CC-CHF,Quintet
Cash,1,CC,EUR,K00149ED,1,37607.03,37607.03,,37607.03,,,1,CC-EUR,37607.03,EUR,2025-02-19,CC-EUR,Quintet
Cash,1,CC,EUR,K00149ED,1,1830.58,2211.05135663564,,2211.05135663564,,,1.20784197174428,CC-GBP,1830.58,GBP,2025-02-19,CC-GBP,Quintet
Cash,1,CC,EUR,K00149ED,1,2530.56,2427.63034295358,,2427.63034295358,,,0.959325344174247,CC-USD,2530.56,USD,2025-02-19,CC-USD,Quintet
Cash,1,CC,EUR,K00149ED,1,2682.57,2846.3489166649,,2846.3489166649,,,1.06105298898627,CC-CHF,2682.57,CHF,2025-02-20,CC-CHF,Quintet
Cash,1,CC,EUR,K00149ED,1,37607.03,37607.03,,37607.03,,,1,CC-EUR,37607.03,EUR,2025-02-20,CC-EUR,Quintet
Cash,1,CC,EUR,K00149ED,1,1830.58,2208.96771916049,,2208.96771916049,,,1.20670373278442,CC-GBP,1830.58,GBP,2025-02-20,CC-GBP,Quintet
Cash,1,CC,EUR,K00149ED,1,2530.56,2415.93486323027,,2415.93486323027,,,0.954703647900176,CC-USD,2530.56,USD,2025-02-20,CC-USD,Quintet
Cash,1,CC,EUR,K00149ED,1,2682.57,2852.37168649718,,2852.37168649718,,,1.06329813816496,CC-CHF,2682.57,CHF,2025-02-21,CC-CHF,Quintet
Cash,1,CC,EUR,K00149ED,1,37607.03,37607.03,,37607.03,,,1,CC-EUR,37607.03,EUR,2025-02-21,CC-EUR,Quintet
Cash,1,CC,EUR,K00149ED,1,1830.58,2213.13573617447,,2213.13573617447,,,1.20898061607494,CC-GBP,1830.58,GBP,2025-02-21,CC-GBP,Quintet
Cash,1,CC,EUR,K00149ED,1,2530.56,2420.37420778972,,2420.37420778972,,,0.956457941242145,CC-USD,2530.56,USD,2025-02-21,CC-USD,Quintet
Cash,1,CC,EUR,K00149ED,1,2682.57,2856.4111847009,,2856.4111847009,,,1.0648039695892,CC-CHF,2682.57,CHF,2025-02-24,CC-CHF,Quintet
Cash,1,CC,EUR,K00149ED,1,37607.03,37607.03,,37607.03,,,1,CC-EUR,37607.03,EUR,2025-02-24,CC-EUR,Quintet
Cash,1,CC,EUR,K00149ED,1,1830.58,2206.60187937901,,2206.60187937901,,,1.20541133377345,CC-GBP,1830.58,GBP,2025-02-24,CC-GBP,Quintet
Cash,1,CC,EUR,K00149ED,1,2530.56,2417.06553996209,,2417.06553996209,,,0.955150456800903,CC-USD,2530.56,USD,2025-02-24,CC-USD,Quintet
Cash,1,CC,EUR,K00149ED,1,2682.57,2859.76077779199,,2859.76077779199,,,1.06605262035734,CC-CHF,2682.57,CHF,2025-02-25,CC-CHF,Quintet
Cash,1,CC,EUR,K00149ED,1,37607.03,37607.03,,37607.03,,,1,CC-EUR,37607.03,EUR,2025-02-25,CC-EUR,Quintet
Cash,1,CC,EUR,K00149ED,1,1830.58,2206.45737601808,,2206.45737601808,,,1.20533239520703,CC-GBP,1830.58,GBP,2025-02-25,CC-GBP,Quintet
Cash,1,CC,EUR,K00149ED,1,2530.56,2410.61980811053,,2410.61980811053,,,0.952603300498913,CC-USD,2530.56,USD,2025-02-25,CC-USD,Quintet
Cash,1,CC,EUR,K00149ED,1,2682.57,2856.92833636857,,2856.92833636857,,,1.06499675175991,CC-CHF,2682.57,CHF,2025-02-26,CC-CHF,Quintet
Cash,1,CC,EUR,K00149ED,1,37607.03,37607.03,,37607.03,,,1,CC-EUR,37607.03,EUR,2025-02-26,CC-EUR,Quintet
Cash,1,CC,EUR,K00149ED,1,1830.58,2212.14822646091,,2212.14822646091,,,1.20844116425445,CC-GBP,1830.58,GBP,2025-02-26,CC-GBP,Quintet
Cash,1,CC,EUR,K00149ED,1,2530.56,2408.52867120355,,2408.52867120355,,,0.951776947080312,CC-USD,2530.56,USD,2025-02-26,CC-USD,Quintet
Cash,1,CC,EUR,K00149ED,1,2682.57,2864.58578049249,,2864.58578049249,,,1.06785126967516,CC-CHF,2682.57,CHF,2025-02-27,CC-CHF,Quintet
Cash,1,CC,EUR,K00149ED,1,37607.03,37607.03,,37607.03,,,1,CC-EUR,37607.03,EUR,2025-02-27,CC-EUR,Quintet
Cash,1,CC,EUR,K00149ED,1,1830.58,2220.09089293723,,2220.09089293723,,,1.21278004399547,CC-GBP,1830.58,GBP,2025-02-27,CC-GBP,Quintet
Cash,1,CC,EUR,K00149ED,1,2530.56,2430.3060905965,,2430.3060905965,,,0.960382717895052,CC-USD,2530.56,USD,2025-02-27,CC-USD,Quintet
Cash,1,CC,EUR,K00149ED,1,2682.57,2858.81600682048,,2858.81600682048,,,1.06570043160867,CC-CHF,2682.57,CHF,2025-02-28,CC-CHF,Quintet
Cash,1,CC,EUR,K00149ED,1,37603.38,37603.38,,37603.38,,,1,CC-EUR,37603.38,EUR,2025-02-28,CC-EUR,Quintet
Cash,1,CC,EUR,K00149ED,1,1830.58,2216.24351595886,,2216.24351595886,,,1.21067831832472,CC-GBP,1830.58,GBP,2025-02-28,CC-GBP,Quintet
Cash,1,CC,EUR,K00149ED,1,2530.56,2433.17787009112,,2433.17787009112,,,0.961517557414611,CC-USD,2530.56,USD,2025-02-28,CC-USD,Quintet
Cash,1,CC,EUR,K00149ED,1,2682.57,2847.67839324006,,2847.67839324006,,,1.06154858707883,CC-CHF,2682.57,CHF,2025-03-03,CC-CHF,Quintet
Cash,1,CC,EUR,K00149ED,1,37603.38,37603.38,,37603.38,,,1,CC-EUR,37603.38,EUR,2025-03-03,CC-EUR,Quintet
Cash,1,CC,EUR,K00149ED,1,1830.58,2217.18951041379,,2217.18951041379,,,1.21119509139933,CC-GBP,1830.58,GBP,2025-03-03,CC-GBP,Quintet
Cash,1,CC,EUR,K00149ED,1,2530.56,2413.24873781873,,2413.24873781873,,,0.953642173202267,CC-USD,2530.56,USD,2025-03-03,CC-USD,Quintet
Cash,1,CC,EUR,K00149ED,1,2682.57,2861.62166775119,,2861.62166775119,,,1.06674631705834,CC-CHF,2682.57,CHF,2025-03-04,CC-CHF,Quintet
Cash,1,CC,EUR,K00149ED,1,37603.38,37603.38,,37603.38,,,1,CC-EUR,37603.38,EUR,2025-03-04,CC-EUR,Quintet
Cash,1,CC,EUR,K00149ED,1,1830.58,2211.13474051396,,2211.13474051396,,,1.20788752226833,CC-GBP,1830.58,GBP,2025-03-04,CC-GBP,Quintet
Cash,1,CC,EUR,K00149ED,1,2530.56,2403.79309729793,,2403.79309729793,,,0.94990559295094,CC-USD,2530.56,USD,2025-03-04,CC-USD,Quintet
Cash,1,CC,EUR,K00149ED,1,2682.57,2804.48077948418,,2804.48077948418,,,1.0454455166069,CC-CHF,2682.57,CHF,2025-03-05,CC-CHF,Quintet
Cash,1,CC,EUR,K00149ED,1,37603.38,37603.38,,37603.38,,,1,CC-EUR,37603.38,EUR,2025-03-05,CC-EUR,Quintet
Cash,1,CC,EUR,K00149ED,1,1830.58,2187.78547917995,,2187.78547917995,,,1.19513240567468,CC-GBP,1830.58,GBP,2025-03-05,CC-GBP,Quintet
Cash,1,CC,EUR,K00149ED,1,2530.56,2350.97921027046,,2350.97921027046,,,0.929035158332723,CC-USD,2530.56,USD,2025-03-05,CC-USD,Quintet
Cash,1,CC,EUR,K00149ED,1,2682.57,2808.23868097357,,2808.23868097357,,,1.04684637529443,CC-CHF,2682.57,CHF,2025-03-07,CC-CHF,Quintet
Cash,1,CC,EUR,K00149ED,1,37603.38,37603.38,,37603.38,,,1,CC-EUR,37603.38,EUR,2025-03-07,CC-EUR,Quintet
Cash,1,CC,EUR,K00149ED,1,1830.58,2176.28702119864,,2176.28702119864,,,1.18885108610311,CC-GBP,1830.58,GBP,2025-03-07,CC-GBP,Quintet
Cash,1,CC,EUR,K00149ED,1,2530.56,2327.85028924365,,2327.85028924365,,,0.919895315362471,CC-USD,2530.56,USD,2025-03-07,CC-USD,Quintet
Cash,1,CC,EUR,K00149ED,1,2682.57,2808.23868097357,,2808.23868097357,,,1.04684637529443,CC-CHF,2682.57,CHF,2025-03-10,CC-CHF,Quintet
Cash,1,CC,EUR,K00149ED,1,37603.38,37603.38,,37603.38,,,1,CC-EUR,37603.38,EUR,2025-03-10,CC-EUR,Quintet
Cash,1,CC,EUR,K00149ED,1,1830.58,2179.50646574195,,2179.50646574195,,,1.19060978801361,CC-GBP,1830.58,GBP,2025-03-10,CC-GBP,Quintet
Cash,1,CC,EUR,K00149ED,1,2530.56,2334.94989751374,,2334.94989751374,,,0.92270086364826,CC-USD,2530.56,USD,2025-03-10,CC-USD,Quintet
Cash,1,CC,EUR,K00149ED,1,2682.57,2789.20116036059,,2789.20116036059,,,1.03974962828951,CC-CHF,2682.57,CHF,2025-03-11,CC-CHF,Quintet
Cash,1,CC,EUR,K00149ED,1,37603.38,37603.38,,37603.38,,,1,CC-EUR,37603.38,EUR,2025-03-11,CC-EUR,Quintet
Cash,1,CC,EUR,K00149ED,1,1830.58,2168.80438420828,,2168.80438420828,,,1.18476350894705,CC-GBP,1830.58,GBP,2025-03-11,CC-GBP,Quintet
Cash,1,CC,EUR,K00149ED,1,2530.56,2315.7530103871,,2315.7530103871,,,0.915114840346445,CC-USD,2530.56,USD,2025-03-11,CC-USD,Quintet
Cash,1,CC,EUR,K00149ED,1,2682.57,2782.37374627903,,2782.37374627903,,,1.03720452636055,CC-CHF,2682.57,CHF,2025-03-12,CC-CHF,Quintet
Cash,1,CC,EUR,K00149ED,1,37603.38,37603.38,,37603.38,,,1,CC-EUR,37603.38,EUR,2025-03-12,CC-EUR,Quintet
Cash,1,CC,EUR,K00149ED,1,1830.58,2173.40671921836,,2173.40671921836,,,1.18727764927966,CC-GBP,1830.58,GBP,2025-03-12,CC-GBP,Quintet
Cash,1,CC,EUR,K00149ED,1,2530.56,2317.01373383257,,2317.01373383257,,,0.915613039735305,CC-USD,2530.56,USD,2025-03-12,CC-USD,Quintet
Cash,1,CC,EUR,K00149ED,1,2682.57,2791.87178019462,,2791.87178019462,,,1.04074517354426,CC-CHF,2682.57,CHF,2025-03-13,CC-CHF,Quintet
Cash,1,CC,EUR,K00149ED,1,37603.38,37603.38,,37603.38,,,1,CC-EUR,37603.38,EUR,2025-03-13,CC-EUR,Quintet
Cash,1,CC,EUR,K00149ED,1,1830.58,2182.33103855961,,2182.33103855961,,,1.19215278139148,CC-GBP,1830.58,GBP,2025-03-13,CC-GBP,Quintet
Cash,1,CC,EUR,K00149ED,1,2530.56,2330.69092740802,,2330.69092740802,,,0.921017848779726,CC-USD,2530.56,USD,2025-03-13,CC-USD,Quintet
