RM Desk,RM Code,External Asset Manager Code,BP Code,BP ISO currency,Container code,Container ISO currency,Asset ID,ISIN,Asset Name,Asset Type,Asset ISO Currency,Bloomberg Ticker,S&P Rating,Asset Country,Asset Industry,Asset Economical Sector,Contract Code,Buy Currency,Sell Currency,FX Contract Operation Type,Postions ID,Position type,Position ISO Currency,Current Account Code,Last booking date,Reference date,Asset Price Date,Maturity date,FX rate container CCY,FX rate BP CCY,FX rate BU CCY,Asset Rate,Average Cost Price,Average Cost Price in container currency,Price,Quantity,Cost amount,Annual coupons amount,P/L in %,Weight,Accrued Interests in position currency,Valuation in position currency,Accrued Interests in container currency,Valuation in container currency,Accrued Interests in BP currency,Valuation in BP currency,Accrued Interests in BU currency,Valuation in BU currency,Total Accrued Interests in container currency,AUM net without accrued interests in container currency,AUM net in container currency,AUM net in BU currency,Quotation Type,Strike Price
GFI Geneva,6862481,6931119,1158037,EUR,1158037.1,EUR,5789896,,Client à Vue - CCNG - EOQ EUR,Public Money Account,EUR,,,Germany,,,,,,,7080381,Current Account,EUR,1158037.01,,03.04.2023,,,1,1,0.994362192,0,1,1,0,41383.12,41383.12,0,0.295617504,0.709748722,0,41383.12,0,41383.12,0,41383.12,0,41149.81,0,58306.72,58306.72,57977.99,,
GFI Geneva,6862481,6931119,1611603,EUR,1611603.1,EUR,5789896,,Client à Vue - CCNG - EOQ EUR,Public Money Account,EUR,,,Germany,,,,,,,7105876,Current Account,EUR,1611603.135,,03.04.2023,,,1,1,0.994362192,0,1,1,0,-2998.21,-2998.21,0,-0.025740082,-0.001081164,-1.35,-2998.21,-1.35,-2998.21,-1.35,-2998.21,-1.34,-2981.31,-1.35,2773130.49,2773129.14,2757494.78,,
GFI Geneva,6862481,6931119,1611603,EUR,1611603.1,EUR,5789892,,Client à Vue - CCNG - EOQ CHF,Public Money Account,CHF,,,Switzerland,,,,,,,7105779,Current Account,CHF,1611603.01,,03.04.2023,,,1.005669775,1.005669773,1,0,1,1,0,39378.85,39378.85,0,-0.069929187,0.014280655,0,39378.85,0,39602.12,0,39602.11913,0,39378.85,-1.35,2773130.49,2773129.14,2757494.78,,
GFI Geneva,6862481,6931119,1158037,EUR,1158037.1,EUR,5789892,,Client à Vue - CCNG - EOQ CHF,Public Money Account,CHF,,,Switzerland,,,,,,,7085112,Current Account,CHF,1158037.119,,03.04.2023,,,1.005669775,1.005669773,1,0,1,1,0,668.09,668.09,0,0.428461238,0.0115232,0,668.09,0,671.88,0,671.8779185,0,668.09,0,58306.72,58306.72,57977.99,,
GFI Geneva,6862481,6931119,1600220,EUR,1600220.1,EUR,5789892,,Client à Vue - CCNG - EOQ CHF,Public Money Account,CHF,,,Switzerland,,,,,,,7091944,Current Account,CHF,1600220.114,,03.04.2023,,,1.005669775,1.005669773,1,0,1,1,0,66901.8,66901.8,0,-0.097137535,0.03832437,0,66901.8,0,67281.12,0,67281.118,0,66901.8,0,1755570.14,1755570.14,1745672.54,,
GFI Geneva,6862481,6931119,1600220,EUR,1600220.1,EUR,5789896,,Client à Vue - CCNG - EOQ EUR,Public Money Account,EUR,,,Germany,,,,,,,7092162,Current Account,EUR,1600220.01,,03.04.2023,,,1,1,0.994362192,0,1,1,0,69933.89,69933.89,0,-0.058123274,0.039835429,0,69933.89,0,69933.89,0,69933.89,0,69539.62,0,1755570.14,1755570.14,1745672.54,,
GFI Geneva,6862481,6931119,1600220,EUR,1600220.1,EUR,5789928,,Client à Vue - CC - EOQ USD,Public Money Account,USD,,,United States of America,,,,,,,7092071,Current Account,USD,1600220.114,,03.04.2023,,,0.91877986,0.91877986,0.913599956,0,1,1,0,2000,2000,0,0.000940712,0.001046703,0,2000,0,1837.56,0,1837.559721,0,1827.2,0,1755570.14,1755570.14,1745672.54,,
GFI Geneva,6862481,6931119,1521105,EUR,1521105.1,EUR,5789896,,Client à Vue - CCNG - EOQ EUR,Public Money Account,EUR,,,Germany,,,,,,,7090358,Current Account,EUR,1521105.01,03.04.2023,03.04.2023,,,1,1,0.994362192,0,1,1,0,80802.48,80802.48,0,0.043420367,1,0,80802.48,0,80802.48,0,80802.48,0,80346.93,-0.01,80802.48,80802.47,80346.92,,
GFI Geneva,6862481,6931119,1612195,EUR,1612195.1,EUR,5789928,,Client à Vue - CC - EOQ USD,Public Money Account,USD,,,United States of America,,,,,,,7104474,Current Account,USD,1612195.138,,03.04.2023,,,0.91877986,0.91877986,0.913599956,0,1,1,0,5625.27,5625.27,0,0.009016854,0.001872994,0,5625.27,0,5168.38,0,5168.384785,0,5139.25,0,2759421.26,2759421.26,2743864.17,,
GFI Geneva,6862481,6931119,1612195,EUR,1612195.1,EUR,5789896,,Client à Vue - CCNG - EOQ EUR,Public Money Account,EUR,,,Germany,,,,,,,7104499,Current Account,EUR,1612195.01,03.04.2023,03.04.2023,,,1,1,0.994362192,0,1,1,0,226215.56,226215.56,0,-0.065296351,0.08197935,0,226215.56,0,226215.56,0,226215.56,0,224940.2,0,2759421.26,2759421.26,2743864.17,,
