RM Desk;RM Code;External Asset Manager Code;BP Code;BP ISO currency;Container code;Container ISO currency;Asset ID;ISIN;Asset Name;Asset Type;Asset ISO Currency;Bloomberg Ticker;S&P Rating;Asset Country;Asset Industry;Asset Economical Sector;Contract Code;Buy Currency;Sell Currency;FX Contract Operation Type;Postions ID;Position type;Position ISO Currency;Current Account Code;Last booking date;Reference date;Asset Price Date;Maturity date;FX rate container CCY;FX rate BP CCY;FX rate BU CCY;Asset Rate;Average Cost Price;Average Cost Price in container currency;Price;Quantity;Cost amount;Annual coupons amount;P/L in %;Weight;Accrued Interests in position currency;Valuation in position currency;Accrued Interests in container currency;Valuation in container currency;Accrued Interests in BP currency;Valuation in BP currency;Accrued Interests in BU currency;Valuation in BU currency;Total Accrued Interests in container currency;AUM net without accrued interests in container currency;AUM net in container currency;AUM net in BU currency;Quotation Type;Strike Price
External Asset Management Geneva;6862481;6931119;1707872;CHF;01707872.1001;CHF;25108712;;FX Swap Far Leg - EUR/CHF, 22.09.23 (4482980);FX Trade;EUR;;;;;;FXTR.4482980;CHF;;Buy;25108713;Contract;CHF;;;21.08.2023;21.08.2023;22.09.2023;1;1;1;0;1;1;0;7503801.69;7503801.69;0;3.345495397008;0.711357211126;0;7493142.0369446;0;7493142.04;0;0;0;7493142.04;0;10533585.55;10533585.55;10533585.55;Price per Piece;0.9745197
External Asset Management Geneva;6862481;6931119;1611603;EUR;01611603.1001;EUR;25108758;;FX Swap Far Leg - USD/CHF, 22.09.23 (4482988);FX Trade;USD;;;;;;FXTR.4482988;CHF;;Buy;25108759;Contract;CHF;;;21.08.2023;21.08.2023;22.09.2023;1.04373490348358944483;1.04373490606162154509;1;0;1;1;0;443925;443925;0;0.09594220749;0.173316128749;0;443294.3747945;0;462681.81;0;0;0;443294.38;-2.48;2669583.11;2669580.63;2557719.01;Price per Piece;0.88785
External Asset Management Geneva;6862481;6931119;1707872;CHF;01707872.1001;CHF;6840913;LU1143051891;Uts Arc EI ESG Sel Uts -Ha- Cap (26098676);Fund - Bond;CHF;ARHACHF LX EQUITY;;Luxembourg;;Investment trusts/funds & provisioning inst. (TKBN-19);;;;;7480809;Security;CHF;;;21.08.2023;18.08.2023;;1;1;1;0;109.834847400478;109.83;119.35;4109.351;451349.94;0;0.707180934633;0.046560692717;0;490451.04;0;490451.04;0;490451.04;0;490451.04;0;10533585.55;10533585.55;10533585.55;Price per Piece;
External Asset Management Geneva;6862481;6931119;1521105;EUR;01521105.1001;EUR;7249471;;Credit card guarantee CHF;Guarantee - Call;CHF;;;;;;230647;;;;7249492;Contract;CHF;;;21.08.2023;;;1.04373490348358944483;1.04373490606162154509;1;0;0;0;0;-20000;0;0;0;0;0;0;0;0;0;0;0;0;-3.24;142977.93;142974.69;136983.73;;
External Asset Management Geneva;6862481;6931119;1600220;EUR;01600220.1001;EUR;15240358;CH0478634105;Reg Shs AEVIS VICTORIA SA CHF 1 (47863410);Share - Registered;CHF;AEVS SW Equity;;Switzerland;Health Care Facilities                                 ;Financial, investment & other diversified comp. (TKBN-84);;;;;15299574;Security;CHF;;;21.08.2023;21.08.2023;;1.04373490348358944483;1.04373490606162154509;1;0;9.3931225;8.57;18.9;4000;37572.49;0;0.230289786109;0.051002645738;0;75600;0;78906.36;0;78906.3588983;0;75600;-10.98;1547103.27;1547092.29;1482265.53;Price per Piece;
External Asset Management Geneva;6862481;6931119;1608856;CHF;01608856.1001;CHF;5789892;;Client à Vue - CCNG - EOQ CHF;Public Money Account;CHF;;;Switzerland;;;;;;;7098909;Current Account;CHF;1608856.010000;;21.08.2023;;;1;1;1;0;1;1;0;8860.14;8860.14;0;0.830779185879;0.530071827786;-1.33;8860.14;-1.33;8860.14;-1.33;8860.14;-1.33;8860.14;-1.33;16714.98;16713.65;16713.65;;
External Asset Management Geneva;6862481;6931119;1521105;EUR;01521105.1001;EUR;5789892;;Client à Vue - CCNG - EOQ CHF;Public Money Account;CHF;;;Switzerland;;;;;;;7090303;Current Account;CHF;1521105.124311;;21.08.2023;;;1.04373490348358944483;1.04373490606162154509;1;0;1;1;0;121282.6;121282.6;0;0.900639001621;0.885359579622;-3.1;121282.6;-3.24;126586.88;-3.2355782;126586.8831179;-3.1;121282.6;-3.24;142977.93;142974.69;136983.73;;
External Asset Management Geneva;6862481;6931119;1611603;EUR;01611603.1001;EUR;5789892;;Client à Vue - CCNG - EOQ CHF;Public Money Account;CHF;;;Switzerland;;;;;;;7105779;Current Account;CHF;1611603.010000;;21.08.2023;;;1.04373490348358944483;1.04373490606162154509;1;0;1;1;0;43071.71;43071.71;0;-0.214663888441;0.016839876545;0;43071.71;0;44955.45;0;44955.4471908;0;43071.71;-2.48;2669583.11;2669580.63;2557719.01;;
External Asset Management Geneva;6862481;6931119;1707872;CHF;01707872.1001;CHF;5789892;;Client à Vue - CCNG - EOQ CHF;Public Money Account;CHF;;;Switzerland;;;;;;;7115511;Current Account;CHF;1707872.010000;;21.08.2023;;;1;1;1;0;1;1;0;984618.92;984618.92;0;-1.459624436279;0.093474241542;0;984618.92;0;984618.92;0;984618.92;0;984618.92;0;10533585.55;10533585.55;10533585.55;;
External Asset Management Geneva;6862481;6931119;1707872;CHF;01707872.1001;CHF;17121435;IE00BD08G515;Uts MontLak AlpQue Accum Institutional Uts CHF (33531424);Fund - Other;CHF;;;Ireland;;Investment trusts/funds & provisioning inst. (TKBN-19);;;;;17131333;Security;CHF;;;21.08.2023;18.08.2023;;1;1;1;0;99.221051030907;99.22;103.0891;3543.2488;351564.87;0;-0.887608704965;0.034676732653;0;365270.33;0;365270.33;0;365270.33;0;365270.33;0;10533585.55;10533585.55;10533585.55;Price per Piece;
