Répartition Générale (Pondération),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Liq,DevT,CTerme,Oblig,Actions,HF,MPrem,Autres,Total,,,,,,,,,,,,,,,,,
,CHF,13.16206289,16.64237792,0,0,2.21021613,0.594990373,6.035932141,0.744623435,39.39020289,,,,,,,,,,,,,,,,,
,EUR,6.319084701,-18.74630814,0,31.23650501,24.14417512,1.20811356,3.690928199,3.596349831,51.44884828,,,,,,,,,,,,,,,,,
,USD,1.363703282,2.042868981,1.131590121,,0.019113972,2.356749989,1.264292336,0.730461718,8.908780399,,,,,,,,,,,,,,,,,
,CAD,0.002005511,,,,0.250162918,,,,0.252168429,,,,,,,,,,,,,,,,,
,GBP,0,0,,,,,,,0,,,,,,,,,,,,,,,,,
,Total,20.84685639,-0.061061243,1.131590121,31.23650501,26.62366814,4.159853922,10.99115267,5.071434984,100,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total : 48'418'238 CHF Positions non soldées - Segment Total (219),,,,,,,,,,,,,,,,,,,,,,,,,,,
, ,Répartition  par classes d'actifs,,N° valeur,Code ISIN,N° client,Solde,Poids (%) ,Libellé    ,Devise,Cours (MC),Estimation moy. avec IC,Estimation (CHF) (début),Estimation + int. courus (en MC),Estimation + int. courus (CHF) ,MCR  (MB) (ouv.pos.),MCR (MC) (ouv.pos.),B / P non réalisé Total  (MB) (ouv.pos.),Valeur d'avance (CHF),"Plus-value,  rev. incl.  (CHF)",B / P - Total  (CHF),"Perf. MW (CHF, %)","Perf. MW, pondérée (CHF, %) ",Effet de change MW pondéré (%),"Perf. TW (CHF, %)","Perf. MW, pondérée (MC, %)","Poids, position client (%)  "
Avoirs en compte,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Comptabilisé,Avoirs en compte,0,,,54570000,66.3,0.000136932,REVENUS A RECEVOIR EN CHF,CHF,100,81.80703125,0,66.3,66.3,,,,0,4.00E-14,0,0,0,0,0,0,0.000884209
,Comptabilisé,Avoirs en compte,0,,,15549 00,-19263.15,-0.036329984,COMPTE REVENUS EN USD,USD,0.91316,-14388.34575,-14033.08202,-19263.15,-17590.33805,,,,,-3557.25603,188.5976186,-25.34907174,-0.007383105,0.00048129,-25.34907174,-0.00786439,-0.413130839
,Comptabilisé,Avoirs en compte,0,,,532336A0,5000,0.010291163,COMPTE REVENUS EN EUR,EUR,0.99656,4423.260938,0,5000,4982.8,,,,4733.66,-22.7,-22.7,-0.510906357,-4.71E-05,-4.71E-05,-0.453501149,0,4.413003674
,Comptabilisé,Avoirs en compte,0,,,52122600,1263.98,0.002601565,COMPTE REVENUS EN EUR,EUR,0.99656,1254.724111,1248.066492,1263.98,1259.631909,,,,1196.650313,11.565417,11.565417,0.926666734,2.40E-05,2.40E-05,0.926666734,0,0.03369266
,Comptabilisé,Avoirs en compte,0,,,15549 00,-1080.35,-0.002223612,COMPTE REVENUS EN EUR,EUR,0.99656,-1072.4388,-1066.748394,-1080.35,-1076.633596,,,,,-9.8852025,-9.8852025,-0.926666734,-2.05E-05,-2.05E-05,-0.926666734,0,-0.025286071
,Comptabilisé,Avoirs en compte,0,,,54570000,2004459.88,4.139886034,COMPTE REVENUS EN CHF,CHF,100,2008198.774,2010016.58,2004459.88,2004459.88,,,,1890239.337,4.64E-11,0,0,0,0,0,0,26.73245676
,Comptabilisé,Avoirs en compte,0,,,52122600,38.55,7.96E-05,COMPTE REVENUS EN CHF,CHF,100,38.55,38.55,38.55,38.55,,,,36.35329755,0,0,0,0,0,0,0,0.001031136
,Comptabilisé,Avoirs en compte,0,,,60864 W1,14313.56,0.026995138,COMPTE ORDINAIRE EN USD,USD,0.91316,13245.86012,13242.90571,14313.56,13070.57045,,,,11183.86754,-172.3352624,-172.3352624,-1.301340251,-0.000357683,-0.00035768,-1.301340251,0,0.380949705
,Comptabilisé,Avoirs en compte,0,,,60864 F4,19651.26,0.037061953,COMPTE ORDINAIRE EN USD,USD,0.91316,16249.62789,14043.63856,19651.26,17944.74458,,,,15354.46729,-218.8437086,-218.8437086,-1.353138079,-0.000454211,-0.00045422,-1.232971938,1.00E-08,0.603600792
,Comptabilisé,Avoirs en compte,0,,,53896900,31375.49,0.059173658,COMPTE ORDINAIRE EN USD,USD,0.91316,15454.41431,0,31375.49,28650.84245,,,,24515.16773,-253.1979576,-253.1979576,-1.694859951,-0.000525514,-0.00052552,-0.875995031,0,4.95471582
,Comptabilisé,Avoirs en compte,0,,,534552A0,21230.52,0.040040411,COMPTE ORDINAIRE EN USD,USD,0.91316,31078.61085,3888.828396,21230.52,19386.86164,,,,16588.4185,1104.871526,1104.871526,3.551440377,0.002293167,-0.00037383,-0.846262886,0.002667,0.296826409
,Comptabilisé,Avoirs en compte,0,,,53455200,1783.57,0.003363784,COMPTE ORDINAIRE EN USD,USD,0.91316,1650.527104,1650.158964,1783.57,1628.684781,,,,1393.588362,-21.4741828,-21.4741828,-1.301340251,-4.46E-05,-4.46E-05,-1.301340251,0,0.042569979
,Comptabilisé,Avoirs en compte,0,,,532338A0,3.36,6.34E-06,COMPTE ORDINAIRE EN USD,USD,0.91316,3.109365525,3.108672,3.36,3.0682176,,,,2.625328356,-0.0404544,-0.0404544,-1.301340251,-8.40E-08,-8.00E-08,-1.301340251,0,0.001202991
