Oddo 31.03.2023,,,,,,,,,,
Positions,,,,,,,,,,
,,,,,,,,,,
Quantity,Description,ISIN,Currency,Last Price (QC),"Valuation
(VC, End)",Weighting,MW Performance,Account Number,Telekurs Number,Asset Class Code
1 780.00,Xetra Gold,DE000A0S9GB0,EUR,,508511,5.17%,,10.012781_0,,
,DHARMARESEARCH DR EQ A,LU1901202280,EUR,,1532165,15.56%,,10.012781_0,,
,DHARMARESEARCH DR GBL A,LU1901202363,EUR,,2293765,23.30%,,10.012781_0,,
,ORDINARY ACCOUNT IN EUR,,EUR,,5509850.07,55.97%,,10.012781_0,,
33 828.20,ORDINARY ACCOUNT IN USD,,USD,1.08717,2 202.00,0.40%,-5.51%,10.012782_0,,Cash
201165.67,ORDINARY ACCOUNT IN EUR,,EUR,1,12383,2.26%,-21.53%,10.012782_0,,Cash
60,Peters,YY0157457532,USD,,15341.76991,2.80%,,10.012782_0,,
9 826.72,LIONTRUST GF ABS RET A5,IE00BD85PG80,EUR,9.14,16437.61062,3.00%,-1.74%,10.012782_0,0421407470,Fixed Income
1 045.81,MONTLAKE ALPHAQUEST INS €,IE00BD08G390,EUR,98.08,17533.45133,3.20%,-5.38%,10.012782_0,0335314140,Other Investments
510.99,Arcano,LU0646914142,EUR,,21916.81416,4.00%,,10.012782_0,,
,Amundi Gold,FR0013416716,EUR,,36113,6.58%,,10.012782_0,,
199.5,Prima,VGG7238P1146,EUR,,77 607.00,14.13%,,10.012782_0,,
7 678.73,DHARMARESEARCH DR GBL A,LU1901202363,EUR,94.85,184101.2389,33.60%,-0.14%,10.012782_0,0444336850,Fixed Income
4 865.52,DHARMARESEARCH DR EQ A,LU1901202280,EUR,147.75,420 810.00,76.63%,6.74%,10.012782_0,0444336750,Equities
