Breakdown General (Weighting),,,,,,,,,,,,,,,,,
,,Cash,STerm,Bonds,Equit,HF,Comm,RealEst,Other,Total,,,,,,,
,CHF,0.110396404,,,,,,,,0.110396404,,,,,,,
,USD,0.272181344,,,10.61342747,,5.219257606,,0,16.10486642,,,,,,,
,EUR,0.24538263,,3.93976877,5.682899906,1.879957754,,,,11.74800906,,,,,,,
,GBP,0.091913418,5.896049027,,1.380421115,,,,,7.368383559,,,,,,,
,Miscellaneous,,7.150305752,16.98230474,20.28294057,5.624363839,4.5215822,3.25671937,6.846963316,64.66517979,,,,,,,
,Other,0.00316476,,,,,,,,0.00316476,,,,,,,
,Total,0.723038555,13.04635478,20.92207351,37.95968907,7.504321593,9.740839807,3.25671937,6.846963316,100,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Total : 6'401'060 CHF Non-zero-balance positions - Segment Total (48),,,,,,,,,,,,,,,,,
,,Client No.,ISIN code,Balance,Description,Currency,Price (QC),Weight (%) ,"MW Perf. (QC, %)","MW Perf. (CHF, %)","MW Perf.  weighted  (QC, %)","MW Perf.  weighted  (CHF, %)",Currency Effect MW weighted (%),Valuation + accr. interest (CHF) ,Unrealized P / L Total  (BC) (holding per.) ,Total Purchase Cost (QC) (holding per.),Custodian
Cash,,,,,,,,,,,,,,,,,
,0,K06899YP,,342.43,CURRENT ACCOUNT IN AUD,AUD,0.59159,0.00316476,0,-5.712191001,0,-0.000195474,-0.00019547,202.5781637,,,
,0,K00149ED,,7066.54,CURRENT ACCOUNT IN CHF,CHF,100,0.110396404,0,0,0,0,0,7066.54,,,
,0,K00149ED,,15684.42,CURRENT ACCOUNT IN EUR,EUR,0.97452,0.238785156,-0.29401917,1.329797955,-0.00891263,0.039974302,0.04888693,15284.78098,,,
,0,K06899YP,,433.35,CURRENT ACCOUNT IN EUR,EUR,0.97452,0.006597474,-1.11974173,1.190136593,-0.00895856,0.009431521,0.01839008,422.308242,,,
,0,K00149ED,,1830.58,CURRENT ACCOUNT IN GBP,GBP,1.13302,0.032402192,0,1.807889298,0,0.000586632,0.00058663,2074.083752,,,
,0,K06899YP,,3362.12,CURRENT ACCOUNT IN GBP,GBP,1.13302,0.059511225,-4.86236615,1.136562916,-0.01659959,0.00363927,0.02023886,3809.349202,,,
,0,K00149ED,,1249.93,CURRENT ACCOUNT IN USD,USD,0.91416,0.017850731,-0.52164581,-1.73448203,-0.00393402,-0.013110707,-0.00917668,1142.636009,,,
,0,K06899YP,,17808.54,CURRENT ACCOUNT IN USD,USD,0.91416,0.254330612,-0.0108319,-1.435140875,-7.22E-05,-0.009601104,-0.00952894,16279.85493,,,
Short-term instruments,,,,,,,,,,,,,,,,,
,1,K00149ED,LU1873127366,24.837,JPM EUR LIQUID LVNAV A €,EUR,10108.52,3.822307081,0.75685544,-4.660316751,0.01282215,-0.079777334,-0.09259948,244668.1671,815.31124,250250,CLEARSTREAM BANKING LU OMN K080
,1,K06899YP,LU1873127366,9.935,JPM EUR LIQUID LVNAV A €,EUR,10108.52,1.528953612,0.41281592,-4.996359673,0.00280166,-0.034263212,-0.03706487,97869.23703,-1719.019574,100250,CLEARSTREAM BANKING LU OMN K080
,1,K06899YP,LU1873128927,32.125,JPM LIQUIDITY LVNAV GBP C,GBP,10368.89,5.896049027,1.47246359,3.184362735,0.03784939,0.082723679,0.04487429,377409.6319,2326.03125,330774.56,CLEARSTREAM BANKING LU OMN K080
,1,K00149ED,LU1873130741,11.911,JPM USD LIQUIDITY LYNAV A,USD,10576.05,1.799045059,1.54750314,0.946879535,0.01247193,0.007559816,-0.00491211,115157.9524,2120.855918,125125,CLEARSTREAM BANKING LU OMN K080
Bonds,,,,,,,,,,,,,,,,,
,1,K00149ED,LU0646914142,730.502,ARCANO EUROP INC ESG BA,EUR,157.73,1.754181698,4.85275543,3.483970413,0.08386519,0.060211176,-0.02365401,112286.2218,9357.73046,105864.35,NORTHERN LU OMN K0K0
,0,K00149ED,LU1901202363,3277.13,DHARMARESEARCH DR GBL A,EUR,94.85,4.732273842,1.03323392,-0.285689718,0.04999227,-0.013823186,-0.06381545,302915.6848,3146.0405,307689.74,EFA DHARMARES LU OMN KAAU
,0,K06899YP,LU1901202363,6543,DHARMARESEARCH DR GBL A,EUR,94.85,9.448287906,1.03323392,-0.285689718,0.09981277,-0.027598876,-0.12741164,604790.5715,12177.16582,619622.1,EFA DHARMARES LU OMN KAAU
,1,K00149ED,IE00B0M62X26,243,ISHARES EUR INFL LINK ETF,EUR,224.61,0.830948722,3.90433455,2.547930553,0.03225419,0.021049223,-0.01120497,53189.52574,-272.16,54852.39,CLEARSTREAM ETF ITA 31354 OMN
,1,K00149ED,IE00B96LYN04,816.915,MUZINICH AM H HDG EUR,EUR,108.92,1.354638349,-1.24401086,-4.483038432,-0.01503139,-0.055000874,-0.03996949,86711.21263,2654.9718,86323.41,CLEARSTREAM BANKING LU OMN K080
,1,K00149ED,IE00BJCXFM61,627.681,MUZINICH GL S/DUR H HDG,EUR,98.12,0.9376384,1.57529354,0.253684228,0.01503112,0.002420586,-0.01261053,60018.79596,1528.05972,60060,CLEARSTREAM BANKING LU OMN K080
,1,K06899YP,IE00BJCXFM61,627.681,MUZINICH GL S/DUR H HDG,EUR,98.12,0.9376384,1.25902993,-0.062841327,0.01204304,-0.000601111,-0.01264415,60018.79596,204.7964521,60150,CLEARSTREAM BANKING LU OMN K080
,1,K06899YP,IE00B685HQ37,757.142,MUZINICH S/DUR HY HDG GBP,GBP,69.13,0.926466195,0.52799907,-0.568681276,0.00429456,-0.004754347,-0.00904891,59303.6564,-795.00354,53136.23,CLEARSTREAM BANKING LU OMN K080
Equities,,,,,,,,,,,,,,,,,
,0,K00149ED,LU1901202280,4820.45,DHARMARESEARCH DR EQ A,EUR,147.75,10.84311178,6.46316682,4.776425063,0.59414652,0.439378542,-0.15476798,694074.084,50907.6275,661313.86,EFA DHARMARES LU OMN KAAU
,0,K06899YP,LU1901202280,3370,DHARMARESEARCH DR EQ A,EUR,147.75,7.580472096,8.64769468,7.229369181,0.62326777,0.521055595,-0.10221217,485230.5621,38554.31575,462936.9,EFA DHARMARES LU OMN KAAU
,1,K00149ED,US46090E1038,105,INVESCO QQQ TRUST I,USD,347.99,0.521826805,30.78847961,29.2287088,0.12679983,0.120374188,-0.00642564,33402.44653,5037.023757,29623.65,CAC US MKT OMN 15%
,1,K06899YP,US46090E1038,130,INVESCO QQQ TRUST I,USD,347.99,0.646071282,30.84692641,29.28688126,0.15725009,0.149295002,-0.00795509,41355.40999,2662.63886,41009.8,CAC US MKT OMN 15%
,1,K06899YP,IE00B0M62S72,5943,ISHARES EURO DIVIDEND ETF,EUR,17.01,1.539036454,-1.64555569,-2.926415317,-0.0266633,-0.047418363,-0.02075507,98514.64584,-122.1837254,103431.97,CLEARSTREAM ETF NED 31287 OMN
,1,K06899YP,IE00B42Z5J44,1699,ISHARES MSCI JPN EUR HDG,EUR,66.255,1.713763544,15.58237069,14.04641798,0.30348801,0.273709493,-0.02977852,109699.0316,12423.91107,100079.59,CLEARSTREAM/ETF CONV ICSD OR GBP
,1,K00149ED,IE00B5BMR087,409,ISHS ETF S&P500 B UCITS,USD,433.8,2.533863272,9.52056351,8.213703347,0.22728508,0.196083517,-0.03120157,162194.1067,9305.677085,160127.59,CLEARSTREAM/ETF CONV ICSD OR GBP
,1,K06899YP,GB00B57TMD12,4515.736,LIONTRUST UK SM INSTIT,GBP,17.2702,1.380421115,-26.96388618,-5.11488068,-0.02513311,-0.00478349,0.02034962,88361.58291,-8225.416133,86213.08,CLEARSTREAM BANKING LU OMN K080
,1,K06899YP,GB00B7BZB324,56665,MI SOMERSET ASIA INC I£,GBP,1.30998,1.313908859,1.83527138,3.683041913,0.02379521,0.047750716,0.02395551,84104.09352,-4168.2733,78398.29,CLEARSTREAM BANKING LU OMN K080
,1,K00149ED,FR0011475078,985,MUF LYXOR JAP DLY HDG D €,EUR,162.05,2.430099907,14.77441745,13.27611154,0.32313796,0.29037408,-0.03276388,155552.1515,19562.1,140057.15,CLEARSTREAM ETF FRA 31280 OMN
